,Customer,Date,Rating,Review Title,Review Body
144,VM,2020-06-05,5.0,Amazing.,  Good product by Samsung.
145,sajjad,2020-06-04,1.0,Money worthy,  Very good product.
146,Aman,2020-08-23,5.0,T,  Not worth in this price don't buy this phone
147,RAJU HOSOORU,2020-09-21,2.0,Great Deal,  Good product
148,Amazon Customer,2020-08-01,4.0,Mobile performance,  Mobile performance is not good
149,virendra yadav,2020-08-17,5.0,Good to Buy,  Good Phone............
150,saurabh mathur,2020-07-09,5.0,Better than NORD,"  Great phone, better than NORD"
151,Nandkumar Padmakar Pande,2021-02-21,5.0,Product good but delivery service bad,  Product good but delivery service bad
152,Azad khan,2021-04-10,5.0,Like to have more Samsung products like A31,  Picture clarity and  tuch sensitivity
153,Arunkumar,2021-03-22,4.0,I loved it,  NICEE
154,PRADIP KUMAR SINGH,2020-07-24,3.0,Waste product,  Waste product and not working finger print
155,Balamurugan,2020-10-12,5.0,Ok,  Not bad but hanging problem a little
156,VM,2020-06-05,5.0,Good quality,  Good product
157,sajjad,2020-06-04,1.0,Display,  Osm products  from samsung
158,KEDARESH.SS,2020-07-11,5.0,Good reliable model. Battery is nice,  Photo quality amazing. Satisfied.
159,Arijit ghosal,2020-08-14,4.0,Performance,  Over all good performance
160,DEEP PATEL,2021-01-30,5.0,On screen  Scanner is pathetic,  Make software more user freindly
161,Abhishek,2020-09-19,5.0,Go for it,  Good choice. Lucky me. Thank you Amazon
162,Sundeep,2020-08-27,5.0,So good but not better,  Good 👍 but  not better
163,Amazon Customer,2021-02-11,5.0,Avg performance,  After a month it’s lagging..
164,Vijay Rathour,2020-07-26,3.0,awesome 👌,  Awesome
165,Piyushsinh Solanki,2021-03-18,3.0,Good one,"  Good one, but Speeker volume is very low"
166,Nishanth B,2020-07-17,5.0,as compare of money is not good,"  Waste of money, service is bad"
167,VINOD KUMAR RANA,2020-08-06,4.0,best thing,  Battery life is so goodd .....
168,VM,2020-06-05,5.0,The best,  Good battery life. Worth the money..
169,sajjad,2020-06-04,1.0,improved quality,  Smooth running
170,Shirish Dattatraya Dharap,2020-07-06,5.0,awesome,  Awesome
171,Minakshi yadav,2020-09-04,5.0,Justify The Cost,  Value For Money
172,BHABISH THAKUR,2020-08-14,5.0,Response is most important for the customers!!,  Loved it!!
173,Lakshman kumar,2020-08-01,5.0,excellent,  Size should be large 16.67cm
174,Dr. Yashvi Pandey,2020-08-23,5.0,Samsung A31 Reviews,  Not worth to purchase
175,Chandra s.,2020-09-28,5.0,Awesome,  Beautiful
176,Kanak sharma,2020-07-26,1.0,BATTERY,  Battery life is good
177,AASNA,2020-08-01,5.0,Product quantity,  Good product
178,Amazon Customer,2021-02-01,1.0,Good,  Good
179,prince p,2021-04-07,5.0,Nice,  Nice
180,VM,2020-06-05,5.0,Best quality,  Good
181,sajjad,2020-06-04,1.0,So bad,  Everything is dislike
182,Nikhil S.,2020-09-15,5.0,Perfect 😍,  Everything is perfect 😊.
183,mani j,2021-01-01,4.0,Nice,  Best mobile
184,Sanjay Khandalkar,2020-08-16,5.0,Good mobile with this price,  nice mobile
185,Rinchen gurung,2020-08-21,4.0,Nice phone,  Nice phone
186,Naveen,2020-07-18,1.0,All good,  It's working good
187,HANUMANTHA RAO,2020-09-03,4.0,Worth for money,  Good working well
188,Meet,2020-09-02,5.0,Very good,  Very good
189,Saurabh,2020-09-03,5.0,good product,  Very nice
190,Jay,2020-09-03,4.0,Awesome phone,  Very nice mobile
191,Robert J.,2020-08-16,4.0,very good,  Very good mobile
192,VM,2020-06-05,5.0,All good,  All good
193,sajjad,2020-06-04,1.0,Must try,  Good one
194,Nitesh,2020-12-12,2.0,thnx,  Happy
195,Sayantan Banerjee,2020-07-06,5.0,What you may want  now ✌️,  Value for money
196,Rakhi,2021-02-09,4.0,I have not satisfied in the performance,  The phone is problem in the touch screen
197,Vigesh Vijayan,2020-09-03,3.0,Worth it,  Not bad
198,Amazon Customer,2020-08-16,4.0,Nice phone,  Very nice
199,marimuthu,2020-06-15,3.0,Best one,  Good for normal use
200,Manoj Gautam,2020-11-28,1.0,Defective,  Camera problem
201,sushma,2020-09-03,5.0,It's ok,  It's OK phone
202,Supriya,2020-07-20,5.0,Osm,  Super
203,Amazon Customer,2020-09-15,5.0,Better from Chinese Phone like vivo & oppo........,  Good battery life.
204,VM,2020-06-05,5.0,Excellent service,  Aparna shete
205,sajjad,2020-06-04,1.0,Super,  Samsung is no1
206,Rajdeep Chatterjee,2020-09-07,5.0,No complaints,  Worth the price...
207,Jai,2020-08-17,5.0,Very Good,  Good Product
208,Kaustubh,2020-11-29,5.0,Nice 👌,  Good product
